,Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties,Elevation
0,Title,media/cat0.jpg,Source: katya-guseva0,https://pixabay.com/photos/cat-sleeping-cat-feline-pet-animal-2605502/,This is my final project for GIS 495,15.75,Hidden,,"Raleigh, NC",35.7796,-78.6382,,0.9,,,
1,03460000,,,,,16.0,Plain,blue,,35.6672222,-83.0727778,,,,,2457.3
2,02137727,,,,,16.0,Plain,blue,,35.6858333,-82.0602778,,,,,1233.81
3,0344878100,,,,,16.0,Plain,blue,,35.56138889,-82.5969444,,,,,1975.32
4,03446000,,,,,16.0,Plain,blue,,35.39805556,-82.595,,,,,2088.39
5,02101726,,,,,16.0,Plain,blue,,35.73514055,-79.4230754,,,,,482.9
6,03512000,,,,,16.0,Plain,blue,,35.46138889,-83.3536111,,,,,1843.25
7,03456991,,,,,16.0,Plain,blue,,35.52194444,-82.8480556,,,,,2581.6
8,02077303,,,,,16.0,Plain,blue,,36.5227222,-78.9970556,,,,,341.97
9,02077200,,,,,16.0,Plain,blue,,36.39777778,-79.1966667,,,,,399.3
10,03447687,,,,,16.0,Plain,blue,,35.42916667,-82.5525,,,,,2032.76
11,0351706800,,,,,16.0,Plain,blue,,35.4383333,-83.91888889,,,,,1271.7
12,02111000,,,,,16.0,Plain,blue,,35.9908333,-81.5583333,,,,,1211.3
13,03451500,,,,,16.0,Plain,blue,,35.60888889,-82.5780556,,,,,1949.93
