County,Name
1,Alamance County
3,Alexander County
5,Alleghany County
7,Anson County
9,Ashe County
11,Avery County
13,Beaufort County
15,Bertie County
17,Bladen County
19,Brunswick County
21,Buncombe County
23,Burke County
25,Cabarrus County
27,Caldwell County
29,Camden County
31,Carteret County
33,Caswell County
35,Catawba County
37,Chatham County
39,Cherokee County
41,Chowan County
43,Clay County
45,Cleveland County
47,Columbus County
49,Craven County
51,Cumberland County
53,Currituck County
55,Dare County
57,Davidson County
59,Davie County
61,Duplin County
63,Durham County
65,Edgecombe County
67,Forsyth County
69,Franklin County
71,Gaston County
73,Gates County
75,Graham County
77,Granville County
79,Greene County
81,Guilford County
83,Halifax County
85,Harnett County
87,Haywood County
89,Henderson County
91,Hertford County
93,Hoke County
95,Hyde County
97,Iredell County
99,Jackson County
101,Johnston County
103,Jones County
105,Lee County
107,Lenoir County
109,Lincoln County
111,Mcdowell County
113,Macon County
115,Madison County
117,Martin County
119,Mecklenburg County
121,Mitchell County
123,Montgomery County
125,Moore County
127,Nash County
129,New Hanover County
131,Northampton County
133,Onslow County
135,Orange County
137,Pamlico County
139,Pasquotank County
141,Pender County
143,Perquimans County
145,Person County
147,Pitt County
149,Polk County
151,Randolph County
153,Richmond County
155,Robeson County
157,Rockingham County
159,Rowan County
161,Rutherford County
163,Sampson County
165,Scotland County
167,Stanly County
169,Stokes County
171,Surry County
173,Swain County
175,Transylvania County
177,Tyrrell County
179,Union County
181,Vance County
183,Wake County
185,Warren County
187,Washington County
189,Watauga County
191,Wayne County
193,Wilkes County
195,Wilson County
197,Yadkin County
199,Yancey County
